BLANCHE HARBOR,BLANCHE HARBOR SA 5700
CARRIEWERLOO,CARRIEWERLOO SA 5715
COMMISSARIAT POINT,COMMISSARIAT POINT SA 5700
CULTANA,CULTANA SA 5700
DAVENPORT,DAVENPORT SA 5700
LINCOLN GAP,LINCOLN GAP SA 5715
MIRANDA,MIRANDA SA 5700
MOUNT ARDEN,MOUNT ARDEN SA 5713
MUNDALLIO,MUNDALLIO SA 5700
PORT AUGUSTA,PORT AUGUSTA SA 5700
PORT AUGUSTA WEST,PORT AUGUSTA WEST SA 5700
SALTIA,SALTIA SA 5433
STIRLING NORTH,STIRLING NORTH SA 5710
PORT PATERSON,PORT PATERSON SA 5700
WAMI KATA,WAMI KATA SA 5700
WINNINOWIE,WINNINOWIE SA 5700
WOOLUNDUNGA,WOOLUNDUNGA SA 5701
